Consonantal Root: س م و

Occurrences
((43:85:5) l-samāwāti)
((44:7:2) l-samāwāti)
((44:10:4) l-samāu)
((44:29:4) l-samāu)
((44:38:3) l-samāwāti)
((45:3:3) l-samāwāti)
((45:5:8) l-samāi)
((45:13:5) l-samāwāti)
((45:22:3) l-samāwāti)
((45:27:3) l-samāwāti)
((45:36:4) l-samāwāti)
((45:37:4) l-samāwāti)
((46:3:3) l-samāwāti)
((46:4:17) l-samāwāti)
((46:33:7) l-samāwāti)
((48:4:14) l-samāwāti)
((48:7:3) l-samāwāti)
((48:14:3) l-samāwāti)
((49:16:9) l-samāwāti)
((49:18:5) l-samāwāti)
((50:6:4) l-samāi)
((50:9:3) l-samāi)
((50:38:3) l-samāwāti)
((51:7:1) wal-samāi)
((51:22:2) l-samāi)
((51:23:2) l-samāi)
((51:47:1) wal-samāa)
((52:9:3) l-samāu)
((52:36:3) l-samāwāti)
((52:44:5) l-samāi)
((53:26:5) l-samāwāti)
((53:31:4) l-samāwāti)
((54:11:3) l-samāi)
((55:7:1) wal-samāa)
((55:29:4) l-samāwāti)
((55:33:10) l-samāwāti)
((55:37:3) l-samāu)
((57:1:5) l-samāwāti)
((57:2:3) l-samāwāti)
((57:4:4) l-samāwāti)
((57:4:24) l-samāi)
((57:5:3) l-samāwāti)
((57:10:10) l-samāwāti)
((57:21:9) l-samāi)
((58:7:8) l-samāwāti)
((59:1:5) l-samāwāti)
((59:24:13) l-samāwāti)
((61:1:5) l-samāwāti)
((62:1:5) l-samāwāti)
((63:7:15) l-samāwāti)
((64:1:5) l-samāwāti)
((64:3:2) l-samāwāti)
((64:4:4) l-samāwāti)
((65:12:5) samāwātin)
((67:3:4) samāwātin)
((67:5:3) l-samāa)
((67:16:4) l-samāi)
((67:17:5) l-samāi)
((69:16:2) l-samāu)
((70:8:3) l-samāu)
((71:11:2) l-samāa)
((71:15:7) samāwātin)
((72:8:3) l-samāa)
((73:18:1) al-samāu)
((77:9:2) l-samāu)
((78:19:2) l-samāu)
((78:37:2) l-samāwāti)
((79:27:5) l-samāu)
((81:11:2) l-samāu)
